"MANDT","FCURR","TCURR","GDATU","NOTATION"
"000","","","1800-01-01","1"
"000","","AUD","1800-01-01","2"
"000","","EUR","1800-01-01","2"
"000","","GBP","1800-01-01","2"
"000","","HUF","1800-01-01","2"
"000","","IEP","1800-01-01","2"
"000","","NZD","1800-01-01","2"
"000","","USD","1800-01-01","2"
"000","AUD","NZD","1800-01-01","1"
"000","AUD","USD","1800-01-01","1"
"000","EUR","AUD","1800-01-01","1"
"000","EUR","GBP","1800-01-01","1"
"000","EUR","IEP","1800-01-01","1"
"000","EUR","NZD","1800-01-01","1"
"000","EUR","USD","1800-01-01","1"
"000","GBP","AUD","1800-01-01","1"
"000","GBP","IEP","1800-01-01","1"
"000","GBP","NZD","1800-01-01","1"
"000","GBP","USD","1800-01-01","1"
"000","IEP","AUD","1800-01-01","1"
"000","IEP","NZD","1800-01-01","1"
"000","IEP","USD","1800-01-01","1"
"000","NZD","USD","1800-01-01","1"
"000","USD","EUR","1800-01-01","1"
