"MANDT","KURST","FCURR","TCURR","GDATU","FFACT","TFACT","ABWCT","ABWGA"
"000","001","AFA","EUR","2006-01-01","1","1","",
"000","001","CAD","INR","2011-06-21","1","1","",
"000","001","CAD","INR","2010-06-21","1","1","",
"000","001","CNY","USD","2009-10-26","1","1","",
"000","001","DEM","UNI","1800-01-01","1","1","",
"000","001","EUR","INR","2005-07-06","1","1","",
"000","001","EUR","INR","2005-05-04","1","10","",
"000","001","EUR","INR","2004-01-01","1","1","",
"000","001","EUR","INR","1800-01-01","1","10","",
"000","001","EUR","JPY","1800-01-01","1","1","EURX",
"000","001","EUR","MXN","2010-01-01","1","1","",
"000","001","EUR","MXN","2000-01-01","1","1","",
"000","001","EUR","RMB","2010-06-21","1","1","",
"000","001","EUR","UNI","1800-01-01","1","1","",
"000","001","EUR","USD","2009-01-01","1","1","",
"000","001","GBP","EUR","1999-03-11","1","1","",
"000","001","GBP","EUR","1999-01-01","1","1","",
"000","001","GBP","EUR","1800-01-01","1","1","",
"000","001","INR","EUR","2010-06-21","1","1","",
"000","001","INR","UNI","1800-01-01","1","1","",
"000","001","JPY","EUR","1800-01-01","100","1","EURX",
"000","001","MXN","EUR","2010-01-01","1","1","",
"000","001","MXN","EUR","2000-01-01","1","1","",
"000","001","MXN","USD","2011-01-11","1","1","",
"000","001","RMB","EUR","2010-06-21","1","1","",
"000","001","UNI","DEM","1999-03-11","1","1","",
"000","001","UNI","EUR","1999-03-11","1","1","",
"000","001","UNI","KRW","1800-01-01","1","1","",
"000","001","USD","EUR","2009-01-27","1","1","",
"000","001","USD","MXN","2011-11-01","1","1","",
"000","001","ZAR","EUR","2006-01-01","1","1","",
"000","0011","CAD","INR","2005-07-06","1","1","",
"000","1001","EUR","USD","1800-01-01","1","1","",
"000","1001","FRF","USD","1800-01-01","1","1","",
"000","1001","GBP","USD","1800-01-01","1","1","",
"000","1001","USD","DEM","1800-01-01","1","1","",
"000","0011","EUR","DEM","1999-01-01","1","1","",
"000","0011","EUR","DEM","1800-01-01","1","1","",
"000","0011","EUR","USD","1800-01-01","1","1","",
"000","0011","GBP","EUR","1999-03-11","1","1","",
"000","0011","GBP","EUR","1999-01-01","1","1","",
"000","0011","GBP","EUR","1800-01-01","1","1","",
"000","0011","INR","EUR","2005-05-20","1","1","",
"000","0011","USD","EUR","1800-01-01","1","1","",
"000","001D","DEM","EUR","1900-01-01","1","1","",
"000","001D","DEM","EUR","1800-01-01","1","1","",
"000","0021","EUR","USD","1900-01-01","1","1","",
"000","0021","GBP","EUR","1999-03-11","1","1","",
"000","0021","GBP","EUR","1999-01-01","1","1","",
"000","0021","GBP","EUR","1800-01-01","1","1","",
"000","0021","INR","EUR","1999-01-01","1","1","",
"000","0021","INR","EUR","1800-01-01","1","1","",
"000","0022","CAD","INR","2005-01-02","1","1","",
"000","0022","EUR","INR","2007-01-02","1","1","",
"000","0022","GBP","EUR","1999-03-11","1","1","",
"000","0022","GBP","EUR","1999-01-01","1","1","",
"000","0022","GBP","EUR","1800-01-01","1","1","",
"000","0022","INR","EUR","2007-01-01","1","1","",
"000","0022","INR","USD","2007-01-02","1","1","",
"000","100*","DEM","USD","1800-01-01","1","1","",
"000","100*","EUR","USD","1800-01-01","1","1","",
"000","100*","USD","DEM","1800-01-01","1","1","",
"000","100*","USD","EUR","1800-01-01","1","1","",
"000","1001","AUD","USD","1800-01-01","1","1","",
"000","1001","CAD","INR","2005-07-06","1","1","",
"000","1001","CAD","USD","1997-12-31","1","1","",
"000","1001","DEM","USD","1800-01-01","1","1","",
"000","1001","ESP","USD","1800-01-01","1","1","",
"000","1001","USD","EUR","1800-01-01","1","1","",
"000","1002","ALL","USD","2001-01-01","1","1","",
"000","1002","AUD","USD","1800-01-01","1","1","",
"000","1002","CAD","USD","1997-12-31","1","1","",
"000","1002","DEM","USD","1800-01-01","1","1","",
"000","1002","ESP","USD","1800-01-01","1","1","",
"000","1002","EUR","USD","1800-01-01","1","1","",
"000","1002","FRF","USD","1800-01-01","1","1","",
"000","1002","GBP","USD","1800-01-01","1","1","",
"000","1002","USD","DEM","1800-01-01","1","1","",
"000","1002","USD","EUR","2009-01-01","1","1","",
"000","1002","USD","EUR","1800-01-01","1","1","",
"000","1003","AUD","USD","1800-01-01","1","1","",
"000","1003","DEM","USD","1800-01-01","1","1","",
"000","1003","ESP","USD","1800-01-01","1","1","",
"000","1003","EUR","CHF","2008-12-31","1","1","",
"000","1003","EUR","USD","1800-01-01","1","1","",
"000","1003","FRF","USD","1800-01-01","1","1","",
"000","1003","GBP","USD","1800-01-01","1","1","",
"000","1003","JPY","USD","2009-03-30","1","1","",
"000","1003","USD","DEM","1800-01-01","1","1","",
"000","1003","USD","EUR","2009-01-31","1","1","",
"000","1003","USD","EUR","1800-01-01","1","1","",
"000","1003","USD","JPY","2009-03-31","1","1","",
"000","1004","AUD","USD","1800-01-01","1","1","",
"000","1004","DEM","USD","1800-01-01","1","1","",
"000","1004","ESP","USD","1800-01-01","1","1","",
"000","1004","EUR","USD","1800-01-01","1","1","",
"000","1004","FRF","USD","1800-01-01","1","1","",
"000","1004","GBP","USD","1800-01-01","1","1","",
"000","1004","USD","DEM","1800-01-01","1","1","",
"000","1004","USD","EUR","1800-01-01","1","1","",
"000","1005","UNI","USD","2000-01-01","1","1","",
"000","1006","UNI","USD","2000-01-01","1","1","",
"000","1011","AUD","USD","1800-01-01","1","1","",
"000","1011","CAD","USD","1996-01-01","1","1","",
"000","1011","DEM","USD","1800-01-01","1","1","",
"000","1011","ESP","USD","1800-01-01","1","1","",
"000","1011","EUR","USD","1800-01-01","1","1","",
"000","1011","FRF","USD","1800-01-01","1","1","",
"000","1011","GBP","USD","1800-01-01","1","1","",
"000","1012","AUD","USD","1800-01-01","1","1","",
"000","1012","DEM","EUR","2001-01-01","1","1","",
"000","1012","DEM","EUR","1800-01-01","1","1","",
"000","1012","DEM","USD","1800-01-01","1","1","",
"000","1012","ESP","USD","1800-01-01","1","1","",
"000","1012","EUR","DEM","2001-01-01","1","1","",
"000","1012","EUR","DEM","1800-01-01","1","1","",
"000","1012","EUR","INR","2005-05-04","1","1","",
"000","1012","EUR","INR","1800-01-01","1","1","",
"000","1012","EUR","USD","1800-01-01","1","1","",
"000","1012","FRF","USD","1800-01-01","1","1","",
"000","1012","GBP","USD","1800-01-01","1","1","",
"000","1012","INR","EUR","2005-05-04","1","10","",
"000","1012","INR","EUR","1800-01-01","1","10","",
"000","1013","AUD","USD","1800-01-01","1","1","",
"000","1013","DEM","USD","1800-01-01","1","1","",
"000","1013","ESP","USD","1800-01-01","1","1","",
"000","1013","EUR","USD","1800-01-01","100","1","",
"000","1013","FRF","USD","1800-01-01","1","1","",
"000","1013","GBP","USD","1800-01-01","1","1","",
"000","1014","AUD","USD","1800-01-01","1","1","",
"000","1014","DEM","USD","1800-01-01","1","1","",
"000","1014","ESP","USD","1800-01-01","1","1","",
"000","1014","EUR","USD","1800-01-01","1","1","",
"000","1014","FRF","USD","1800-01-01","1","1","",
"000","1014","GBP","USD","1800-01-01","1","1","",
"000","200*","DEM","USD","1800-01-01","1","1","",
"000","200*","EUR","USD","1800-01-01","1","1","",
"000","200*","USD","DEM","1800-01-01","1","1","",
"000","200*","USD","EUR","1800-01-01","1","1","",
"000","2001","AUD","USD","1800-01-01","1","1","",
"000","2001","CAD","USD","1800-01-01","1","1","",
"000","2001","DEM","USD","1800-01-01","1","1","",
"000","2001","ESP","USD","1800-01-01","1","1","",
"000","2001","EUR","USD","1800-01-01","1","1","",
"000","2001","FRF","USD","1800-01-01","1","1","",
"000","2001","GBP","USD","1800-01-01","1","1","",
"000","2001","ITL","USD","1800-01-01","1","1","",
"000","2001","PTE","USD","1800-01-01","1","1","",
"000","2001","USD","DEM","1800-01-01","1","1","",
"000","2001","USD","EUR","1800-01-01","1","1","",
"000","2002","AUD","USD","1800-01-01","1","1","",
"000","2002","CAD","USD","1800-01-01","1","1","",
"000","2002","DEM","USD","1800-01-01","1","1","",
"000","2002","ESP","USD","1800-01-01","1","1","",
"000","2002","EUR","USD","1800-01-01","1","1","",
"000","2002","FRF","USD","1800-01-01","1","1","",
"000","2002","GBP","USD","1800-01-01","1","1","",
"000","2002","ITL","USD","1800-01-01","1","1","",
"000","2002","PTE","USD","1800-01-01","1","1","",
"000","2002","USD","DEM","1800-01-01","1","1","",
"000","2002","USD","EUR","1800-01-01","1","1","",
"000","2003","AUD","USD","1800-01-01","1","1","",
"000","2003","CAD","USD","1800-01-01","1","1","",
"000","2003","DEM","USD","1800-01-01","1","1","",
"000","2003","ESP","USD","1800-01-01","1","1","",
"000","2003","EUR","USD","1800-01-01","1","1","",
"000","2003","FRF","USD","1800-01-01","1","1","",
"000","2003","GBP","USD","1800-01-01","1","1","",
"000","2003","ITL","USD","1800-01-01","1","1","",
"000","2003","PTE","USD","1800-01-01","1","1","",
"000","2003","USD","DEM","1800-01-01","1","1","",
"000","2003","USD","EUR","1800-01-01","1","1","",
"000","2004","AUD","USD","1800-01-01","1","1","",
"000","2004","CAD","USD","1800-01-01","1","1","",
"000","2004","DEM","USD","1800-01-01","1","1","",
"000","2004","ESP","USD","1800-01-01","1","1","",
"000","2004","EUR","USD","1800-01-01","1","1","",
"000","2004","FRF","USD","1800-01-01","1","1","",
"000","2004","GBP","USD","1800-01-01","1","1","",
"000","2004","ITL","USD","1800-01-01","1","1","",
"000","2004","PTE","USD","1800-01-01","1","1","",
"000","2004","USD","DEM","1800-01-01","1","1","",
"000","2004","USD","EUR","1800-01-01","1","1","",
"000","2011","AUD","USD","1800-01-01","1","1","",
"000","2011","CAD","USD","1800-01-01","1","1","",
"000","2011","DEM","USD","1800-01-01","1","1","",
"000","2011","ESP","USD","1800-01-01","1","1","",
"000","2011","EUR","USD","1800-01-01","1","1","",
"000","2011","FRF","USD","1800-01-01","1","1","",
"000","2011","GBP","USD","1800-01-01","1","1","",
"000","2011","ITL","USD","1800-01-01","1","1","",
"000","2011","PTE","USD","1800-01-01","1","1","",
"000","2012","AUD","USD","1800-01-01","1","1","",
"000","2012","CAD","USD","1800-01-01","1","1","",
"000","2012","DEM","USD","1800-01-01","1","1","",
"000","2012","ESP","USD","1800-01-01","1","1","",
"000","2012","EUR","USD","1800-01-01","1","1","",
"000","2012","FRF","USD","1800-01-01","1","1","",
"000","2012","GBP","USD","1800-01-01","1","1","",
"000","2012","ITL","USD","1800-01-01","1","1","",
"000","2012","PTE","USD","1800-01-01","1","1","",
"000","2013","AUD","USD","1800-01-01","1","1","",
"000","2013","CAD","USD","1800-01-01","1","1","",
"000","2013","DEM","USD","1800-01-01","1","1","",
"000","2013","ESP","USD","1800-01-01","1","1","",
"000","2013","EUR","USD","1800-01-01","100","1","",
"000","2013","FRF","USD","1800-01-01","1","1","",
"000","2013","GBP","USD","1800-01-01","1","1","",
"000","2013","ITL","USD","1800-01-01","1","1","",
"000","2013","PTE","USD","1800-01-01","1","1","",
"000","2014","AUD","USD","1800-01-01","1","1","",
"000","2014","CAD","USD","1800-01-01","1","1","",
"000","2014","DEM","USD","1800-01-01","1","1","",
"000","2014","ESP","USD","1800-01-01","1","1","",
"000","2014","EUR","USD","1800-01-01","1","1","",
"000","2014","FRF","USD","1800-01-01","1","1","",
"000","2014","GBP","USD","1800-01-01","1","1","",
"000","2014","ITL","USD","1800-01-01","1","1","",
"000","2014","PTE","USD","1800-01-01","1","1","",
"000","6666","EUR","CNY","2008-06-26","1","10","",
"000","AP","EUR","KWD","2012-12-01","1","1","",
"000","AP","KWD","JPY","2012-12-01","1","1","",
"000","B","ATS","ATS","1800-01-01","1","1","",
"000","B","ATS","DEM","1800-01-01","1","1","",
"000","B","ATS","EUR","1800-01-01","1","1","",
"000","B","AUD","USD","1800-01-01","1","1","",
"000","B","BEF","DEM","1800-01-01","1","1","",
"000","B","BEF","EUR","1800-01-01","1","1","",
"000","B","CAD","ATS","1800-01-01","1","1","",
"000","B","CAD","AUD","1800-01-01","1","1","",
"000","B","CAD","BEF","1800-01-01","1","1","",
"000","B","CAD","CHF","1800-01-01","1","1","",
"000","B","CAD","DEM","1800-01-01","1","1","",
"000","B","CAD","ESP","1800-01-01","1","1","",
"000","B","CAD","EUR","1800-01-01","1","1","",
"000","B","CAD","FRF","1800-01-01","1","1","",
"000","B","CAD","GBP","1800-01-01","1","1","",
"000","B","CAD","ITL","1800-01-01","1","1","",
"000","B","CAD","JPY","1800-01-01","1","1","",
"000","B","CAD","USD","1800-01-01","1","1","",
"000","B","CHF","DEM","1800-01-01","1","1","",
"000","B","CHF","EUR","1800-01-01","1","1","",
"000","B","CHF","FRF","1800-01-01","1","1","",
"000","B","DEM","ATS","1800-01-01","1","1","",
"000","B","DEM","CHF","1800-01-01","1","1","",
"000","B","DEM","CZK","1800-01-01","1","1","",
"000","B","DEM","DEM","1800-01-01","1","1","",
"000","B","DEM","DKK","1800-01-01","1","1","",
"000","B","DEM","EUR","1800-01-01","1","1","EURB",
"000","B","DEM","FIM","1800-01-01","1","1","",
"000","B","DEM","FRF","1999-01-01","1","1","EURB",
"000","B","DEM","FRF","1800-01-01","1","1","",
"000","B","DEM","GBP","1800-01-01","1","1","",
"000","B","DEM","JPY","1999-01-01","1","1","EURB",
"000","B","DEM","JPY","1800-01-01","1","1","",
"000","B","DEM","NLG","1800-01-01","1","1","",
"000","B","DEM","NOK","1800-01-01","1","1","",
"000","B","DEM","RUB","1800-01-01","1","1","",
"000","B","DEM","RUR","1800-01-01","1","1","",
"000","B","DEM","SEK","1800-01-01","1","1","",
"000","B","DEM","USD","1999-01-01","1","1","EURB",
"000","B","DEM","USD","1800-01-01","1","1","",
"000","B","DEM","ZAR","1800-01-01","1","1","",
"000","B","DKK","DKK","1800-01-01","1","1","",
"000","B","ECU","USD","1800-01-01","1","1","",
"000","B","EUR","ATS","1800-01-01","1","1","",
"000","B","EUR","CHF","1800-01-01","1","1","",
"000","B","EUR","CZK","1800-01-01","1","1","",
"000","B","EUR","DEM","1800-01-01","1","1","",
"000","B","EUR","DKK","1800-01-01","1","1","",
"000","B","EUR","EUR","1800-01-01","1","1","",
"000","B","EUR","FIM","1800-01-01","1","1","",
"000","B","EUR","FRF","1800-01-01","1","1","",
"000","B","EUR","GBP","1800-01-01","1","1","",
"000","B","EUR","JPY","1800-01-01","1","1","EURB",
"000","B","EUR","NLG","1800-01-01","1","1","",
"000","B","EUR","NOK","1800-01-01","1","1","",
"000","B","EUR","RUB","1800-01-01","1","1","",
"000","B","EUR","RUR","1800-01-01","1","1","",
