"MANDT","KURST","FCURR","TCURR","GDATU","FFACT","TFACT","ABWCT","ABWGA"
"000","B","EUR","SEK","1800-01-01","1","1","",
"000","B","EUR","USD","1800-01-01","1","1","EURB",
"000","B","EUR","ZAR","1800-01-01","1","1","",
"000","B","FIM","DEM","1800-01-01","1","1","",
"000","B","FIM","EUR","1800-01-01","100","1","",
"000","B","FIM","FIM","1800-01-01","1","1","",
"000","B","FIM","SEK","1800-01-01","1","1","",
"000","B","FRF","CHF","1800-01-01","1","1","",
"000","B","FRF","DEM","1800-01-01","1","1","",
"000","B","FRF","EUR","1800-01-01","1","1","EURB",
"000","B","FRF","FRF","1800-01-01","1","1","",
"000","B","FRF","SEK","1800-01-01","1","1","",
"000","B","FRF","USD","1800-01-01","1","1","",
"000","B","GBP","DEM","1800-01-01","1","1","",
"000","B","GBP","EUR","1800-01-01","1","1","",
"000","B","GBP","GBP","1800-01-01","1","1","",
"000","B","GBP","SEK","1800-01-01","1","1","",
"000","B","GBP","USD","1800-01-01","1","1","",
"000","B","GBP","ZAR","1800-01-01","1","1","",
"000","B","ITL","USD","1800-01-01","1","1","",
"000","B","JPY","DEM","1999-01-01","100","1","EURB",
"000","B","JPY","DEM","1800-01-01","100","1","",
"000","B","JPY","EUR","1800-01-01","100","1","EURB",
"000","B","JPY","USD","1800-01-01","100","1","",
"000","B","MXP","USD","1800-01-01","1","1","",
"000","B","NLG","DEM","1800-01-01","1","1","",
"000","B","NLG","EUR","1800-01-01","1","1","",
"000","B","NLG","NLG","1800-01-01","1","1","",
"000","B","NOK","DEM","1800-01-01","1","1","",
"000","B","NOK","EUR","1800-01-01","1","1","",
"000","B","NOK","NOK","1800-01-01","1","1","",
"000","B","PTE","USD","1800-01-01","1","1","",
"000","B","RUB","DEM","1800-01-01","1","1","",
"000","B","RUB","EUR","1800-01-01","1","1","",
"000","B","RUB","RUB","1800-01-01","1","1","",
"000","B","RUB","USD","1800-01-01","1","1","",
"000","B","RUR","DEM","1800-01-01","1","1","",
"000","B","RUR","EUR","1800-01-01","1","1","",
"000","B","RUR","RUR","1800-01-01","1","1","",
"000","B","RUR","UAK","1800-01-01","1","1","",
"000","B","RUR","USD","1800-01-01","1","1","",
"000","B","SEK","DEM","1800-01-01","1","1","",
"000","B","SEK","EUR","1800-01-01","1","1","",
"000","B","SEK","FIM","1800-01-01","1","1","",
"000","B","SEK","FRF","1800-01-01","1","1","",
"000","B","SEK","GBP","1800-01-01","1","1","",
"000","B","SEK","SEK","1800-01-01","1","1","",
"000","B","SEK","USD","1800-01-01","1","1","",
"000","B","SKK","CZK","1800-01-01","1","1","",
"000","B","UAK","RUR","1800-01-01","1","1","",
"000","B","USD","ATS","1800-01-01","1","1","",
"000","B","USD","AUD","1800-01-01","1","1","",
"000","B","USD","BEF","1800-01-01","1","1","",
"000","B","USD","CAD","1800-01-01","1","1","",
"000","B","USD","CHF","1800-01-01","1","1","",
"000","B","USD","CZK","1800-01-01","1","1","",
"000","B","USD","DEM","1999-01-01","1","1","EURB",
"000","B","USD","DEM","1800-01-01","1","1","",
"000","B","USD","ECU","1800-01-01","1","1","",
"000","B","USD","ESP","1800-01-01","1","1","",
"000","B","USD","EUR","1800-01-01","1","1","EURB",
"000","B","USD","FIM","1800-01-01","1","1","",
"000","B","USD","FRF","1800-01-01","1","1","",
"000","B","USD","GBP","1800-01-01","1","1","",
"000","B","USD","ITL","1800-01-01","1","1000","",
"000","B","USD","JPY","1800-01-01","1","1","",
"000","B","USD","PTE","1800-01-01","1","1","",
"000","B","USD","RUB","1800-01-01","1","1","",
"000","B","USD","RUR","1800-01-01","1","1","",
"000","B","USD","SEK","1800-01-01","1","1","",
"000","B","USD","USD","1800-01-01","1","1","",
"000","B","USD","ZAR","1800-01-01","1","1","",
"000","B","ZAR","DEM","1800-01-01","1","1","",
"000","B","ZAR","EUR","1800-01-01","1","1","",
"000","B","ZAR","GBP","1800-01-01","1","1","",
"000","B","ZAR","USD","1800-01-01","1","1","",
"000","C","EUR","USD","1800-01-01","1","1","",
"000","C","USD","EUR","1800-01-01","1","1","",
"000","CR","BRL","DEM","1912-01-27","2","1","",
"000","CR","BRL","DEM","0001-01-01","2","1","",
"000","CR","CAD","CHF","1912-01-27","1","1","",
"000","CR","CAD","EUR","1912-01-27","1","1","",
"000","CR","CAD","GBP","1912-01-27","1","1","",
"000","CR","CAD","HUF","1912-01-27","1","1","",
"000","CR","CAD","NOK","1912-01-27","1","1","",
"000","CR","CAD","RUB","1912-01-27","1","1","",
"000","CR","CAD","SEK","1912-01-27","1","1","",
"000","CR","CAD","USD","1912-01-27","1","1","",
"000","CR","CHF","CAD","1912-01-27","1","1","",
"000","CR","CHF","EUR","1912-01-27","1","1","",
"000","CR","CHF","GBP","1912-01-27","1","1","",
"000","CR","CHF","HUF","1912-01-27","1","1","",
"000","CR","CHF","NOK","1912-01-27","1","1","",
"000","CR","CHF","RUB","1912-01-27","1","1","",
"000","CR","CHF","SEK","1912-01-27","1","1","",
"000","CR","CHF","USD","1912-01-27","1","1","",
"000","CR","EUR","CAD","1912-01-27","1","1","",
"000","CR","EUR","CHF","1912-01-27","1","1","",
"000","CR","EUR","GBP","1912-01-27","1","1","",
"000","CR","EUR","HUF","1912-01-27","1","1","",
"000","CR","EUR","NOK","1912-01-27","1","1","",
"000","CR","EUR","RUB","1912-01-27","1","1","",
"000","CR","EUR","SEK","1912-01-27","1","1","",
"000","CR","EUR","USD","1912-01-27","1","1","",
"000","CR","GBP","CAD","1912-01-27","1","1","",
"000","CR","GBP","CHF","1912-01-27","1","1","",
"000","CR","GBP","EUR","1912-01-27","1","1","",
"000","CR","GBP","HUF","1912-01-27","1","1","",
"000","CR","GBP","NOK","1912-01-27","1","1","",
"000","CR","GBP","RUB","1912-01-27","1","1","",
"000","CR","GBP","SEK","1912-01-27","1","1","",
"000","CR","GBP","USD","1912-01-27","1","1","",
"000","CR","HUF","CAD","1912-01-27","1","1","",
"000","CR","HUF","CHF","1912-01-27","1","1","",
"000","CR","HUF","EUR","1912-01-27","1","1","",
"000","CR","HUF","GBP","1912-01-27","1","1","",
"000","CR","HUF","NOK","1912-01-27","1","1","",
"000","CR","HUF","RUB","1912-01-27","1","1","",
"000","CR","HUF","SEK","1912-01-27","1","1","",
"000","CR","HUF","USD","1912-01-27","1","1","",
"000","CR","NOK","CAD","1912-01-27","1","1","",
"000","CR","NOK","CHF","1912-01-27","1","1","",
"000","CR","NOK","EUR","1912-01-27","1","1","",
"000","CR","NOK","GBP","1912-01-27","1","1","",
"000","CR","NOK","HUF","1912-01-27","1","1","",
"000","CR","NOK","RUB","1912-01-27","1","1","",
"000","CR","NOK","SEK","1912-01-27","1","1","",
"000","CR","NOK","USD","1912-01-27","1","1","",
"000","CR","RUB","CAD","1912-01-27","1","1","",
"000","CR","RUB","CHF","1912-01-27","1","1","",
"000","CR","RUB","EUR","1912-01-27","1","1","",
"000","CR","RUB","GBP","1912-01-27","1","1","",
"000","CR","RUB","HUF","1912-01-27","1","1","",
"000","CR","RUB","NOK","1912-01-27","1","1","",
"000","CR","RUB","SEK","1912-01-27","1","1","",
"000","CR","RUB","USD","1912-01-27","1","1","",
"000","CR","SEK","CAD","1912-01-27","1","1","",
"000","CR","SEK","CHF","1912-01-27","1","1","",
"000","CR","SEK","EUR","1912-01-27","1","1","",
"000","CR","SEK","GBP","1912-01-27","1","1","",
"000","CR","SEK","HUF","1912-01-27","1","1","",
"000","CR","SEK","NOK","1912-01-27","1","1","",
"000","CR","SEK","RUB","1912-01-27","1","1","",
"000","CR","SEK","USD","1912-01-27","1","1","",
"000","CR","USD","CAD","1912-01-27","1","1","",
"000","CR","USD","CHF","1912-01-27","1","1","",
"000","CR","USD","EUR","1912-01-27","1","1","",
"000","CR","USD","GBP","1912-01-27","1","1","",
"000","CR","USD","HUF","1912-01-27","1","1","",
"000","CR","USD","NOK","1912-01-27","1","1","",
"000","CR","USD","RUB","1912-01-27","1","1","",
"000","CR","USD","SEK","1912-01-27","1","1","",
"000","CR1","CAD","CHF","2004-12-12","1","1","",
"000","CR1","CAD","CHF","2004-11-11","1","1","",
"000","CR1","CAD","CHF","2004-10-10","1","1","",
"000","CR1","CAD","CHF","2004-09-09","1","1","",
"000","CR1","CAD","CHF","2004-08-08","1","1","",
"000","CR1","CAD","CHF","2004-07-07","1","1","",
"000","CR1","CAD","CHF","2004-06-06","1","1","",
"000","CR1","CAD","CHF","2004-05-05","1","1","",
"000","CR1","CAD","CHF","2004-04-04","1","1","",
"000","CR1","CAD","CHF","2004-03-03","1","1","",
"000","CR1","CAD","CHF","2004-02-02","1","1","",
"000","CR1","CAD","CHF","2004-01-01","1","1","",
"000","CR1","CAD","EUR","2004-12-12","1","1","",
"000","CR1","CAD","EUR","2004-11-11","1","1","",
"000","CR1","CAD","EUR","2004-10-10","1","1","",
"000","CR1","CAD","EUR","2004-09-09","1","1","",
"000","CR1","CAD","EUR","2004-08-08","1","1","",
"000","CR1","CAD","EUR","2004-07-07","1","1","",
"000","CR1","CAD","EUR","2004-06-06","1","1","",
"000","CR1","CAD","EUR","2004-05-05","1","1","",
"000","CR1","CAD","EUR","2004-04-04","1","1","",
"000","CR1","CAD","EUR","2004-03-03","1","1","",
"000","CR1","CAD","EUR","2004-02-02","1","1","",
"000","CR1","CAD","EUR","2004-01-01","1","1","",
"000","CR1","CAD","GBP","2004-12-12","1","1","",
"000","CR1","CAD","GBP","2004-11-11","1","1","",
"000","CR1","CAD","GBP","2004-10-10","1","1","",
"000","CR1","CAD","GBP","2004-09-09","1","1","",
"000","CR1","CAD","GBP","2004-08-08","1","1","",
"000","CR1","CAD","GBP","2004-07-07","1","1","",
"000","CR1","CAD","GBP","2004-06-06","1","1","",
"000","CR1","CAD","GBP","2004-05-05","1","1","",
"000","CR1","CAD","GBP","2004-04-04","1","1","",
"000","CR1","CAD","GBP","2004-03-03","1","1","",
"000","CR1","CAD","GBP","2004-02-02","1","1","",
"000","CR1","CAD","GBP","2004-01-01","1","1","",
"000","CR1","CAD","HUF","2004-12-12","1","1","",
"000","CR1","CAD","HUF","2004-11-11","1","1","",
"000","CR1","CAD","HUF","2004-10-10","1","1","",
"000","CR1","CAD","HUF","2004-09-09","1","1","",
"000","CR1","CAD","HUF","2004-08-08","1","1","",
"000","CR1","CAD","HUF","2004-07-07","1","1","",
"000","CR1","CAD","HUF","2004-06-06","1","1","",
"000","CR1","CAD","HUF","2004-05-05","1","1","",
"000","CR1","CAD","HUF","2004-04-04","1","1","",
"000","CR1","CAD","HUF","2004-03-03","1","1","",
"000","CR1","CAD","HUF","2004-02-02","1","1","",
"000","CR1","CAD","HUF","2004-01-01","1","1","",
"000","CR1","CAD","JPY","2004-12-12","1","100","",
"000","CR1","CAD","JPY","2004-11-11","1","100","",
"000","CR1","CAD","JPY","2004-10-10","1","100","",
"000","CR1","CAD","JPY","2004-09-09","1","100","",
"000","CR1","CAD","JPY","2004-08-08","1","100","",
"000","CR1","CAD","JPY","2004-07-07","1","100","",
"000","CR1","CAD","JPY","2004-06-06","1","100","",
"000","CR1","CAD","JPY","2004-05-05","1","100","",
"000","CR1","CAD","JPY","2004-04-04","1","100","",
"000","CR1","CAD","JPY","2004-03-03","1","100","",
"000","CR1","CAD","JPY","2004-02-02","1","100","",
"000","CR1","CAD","JPY","2004-01-01","1","100","",
"000","CR1","CAD","NOK","2004-12-12","1","1","",
"000","CR1","CAD","NOK","2004-11-11","1","1","",
"000","CR1","CAD","NOK","2004-10-10","1","1","",
"000","CR1","CAD","NOK","2004-09-09","1","1","",
"000","CR1","CAD","NOK","2004-08-08","1","1","",
"000","CR1","CAD","NOK","2004-07-07","1","1","",
"000","CR1","CAD","NOK","2004-06-06","1","1","",
"000","CR1","CAD","NOK","2004-05-05","1","1","",
"000","CR1","CAD","NOK","2004-04-04","1","1","",
"000","CR1","CAD","NOK","2004-03-03","1","1","",
"000","CR1","CAD","NOK","2004-02-02","1","1","",
"000","CR1","CAD","NOK","2004-01-01","1","1","",
"000","CR1","CAD","RUB","2004-12-12","1","1","",
"000","CR1","CAD","RUB","2004-11-11","1","1","",
"000","CR1","CAD","RUB","2004-10-10","1","1","",
"000","CR1","CAD","RUB","2004-09-09","1","1","",
"000","CR1","CAD","RUB","2004-08-08","1","1","",
"000","CR1","CAD","RUB","2004-07-07","1","1","",
"000","CR1","CAD","RUB","2004-06-06","1","1","",
"000","CR1","CAD","RUB","2004-05-05","1","1","",
"000","CR1","CAD","RUB","2004-04-04","1","1","",
"000","CR1","CAD","RUB","2004-03-03","1","1","",
"000","CR1","CAD","RUB","2004-02-02","1","1","",
"000","CR1","CAD","RUB","2004-01-01","1","1","",
"000","CR1","CAD","SEK","2004-12-12","1","1","",
"000","CR1","CAD","SEK","2004-11-11","1","1","",
"000","CR1","CAD","SEK","2004-10-10","1","1","",
"000","CR1","CAD","SEK","2004-09-09","1","1","",
"000","CR1","CAD","SEK","2004-08-08","1","1","",
"000","CR1","CAD","SEK","2004-07-07","1","1","",
"000","CR1","CAD","SEK","2004-06-06","1","1","",
"000","CR1","CAD","SEK","2004-05-05","1","1","",
"000","CR1","CAD","SEK","2004-04-04","1","1","",
