"MANDT","KURST","SPRAS","CURVW"
"000","100*","D","Referenzwert = Kreiswert"
"000","1001","D","Stichtagskurs"
"000","1002","D","Durchschnittskurs"
"000","1003","D","Historischer Kurs"
"000","1004","D","Stichtagskurs des Vorjahres"
"000","200*","D","Referenzwert = Kreiswert"
"000","2001","D","Stichtagskurs"
"000","2002","D","Durchschnittskurs"
"000","2003","D","Historischer Kurs"
"000","2004","D","Stichtagskurs des Vorjahres"
"000","B","D","Standardumrechnung zum Briefkurs"
"000","EURO","D","EWU-Vorschrift, fixe Kurse"
"000","EURX","D","EWU-Vorschrift, variable Kurse"
"000","G","D","Standardumrechnung zum Geldkurs"
"000","I","D","Kurstyp IntraStat"
"000","M","D","Standardumrechnung zum Mittelkurs"
"000","P","D","Standardumrechnung für die Kostenplanung"
"000","100*","E","Reference value = group value"
"000","1001","E","Current exchange rate"
"000","1002","E","Average exchange rate"
"000","1003","E","Historical exchange rate"
"000","1004","E","Current exch. rate prior year"
"000","200*","E","Reference value = group value"
"000","2001","E","Current exchange rate"
"000","2002","E","Average exchange rate"
"000","2003","E","Historical exchange rate"
"000","2004","E","Current exch. rate prior year"
"000","B","E","Standard translation at bk.selling rate"
"000","EURO","E","EMU regulation, fixed exchange rates"
"000","EURX","E","EMU regulation, variable exchange rates"
"000","G","E","Standard translation at bank buying rate"
"000","I","E","Intrastat exchange rate type"
"000","M","E","Standard translation at average rate"
"000","P","E","Standard translation for cost planning"
"000","001","D","Stichtagskurs"
"000","001","E","Current exchange rate"
"000","0011","D","Stichtagskurs"
"000","0011","E","Current exchange rate"
"000","001D","D","Stichtagskurs"
"000","001D","E","Current exchange rate"
"000","0021","D","Stichtagskurs"
"000","0021","E","Current exchange rate"
"000","0022","D","Durchschnittskurs"
"000","0022","E","Average exchange rate"
"000","1005","D","Stichtagskurs Consolidation"
"000","1006","D","Durchschnittskurs Cons."
"000","1011","D","Stichtagskurs"
"000","1011","E","Current exchange rate"
"000","1012","D","Durchschnittskurs"
"000","1012","E","Average exchange rate"
"000","1013","D","Historischer Kurs"
"000","1013","E","Historical exchange rate"
"000","1014","D","Stichtagskurs des Vorjahres"
"000","1014","E","Current exch. rate prior year"
"000","2011","D","Stichtagskurs"
"000","2011","E","Current exchange rate"
"000","2012","D","Durchschnittskurs"
"000","2012","E","Average exchange rate"
"000","2013","D","Historischer Kurs"
"000","2013","E","Historical exchange rate"
"000","2014","D","Stichtagskurs des Vorjahres"
"000","2014","E","Current exch. rate prior year"
"000","6666","E",""
"000","C","E","Test"
"000","DM","E","average exchange rate for daw"
"000","EURB","D","EWU - Umrechnung Geld/Brief"
"000","EURB","E","EMU - Conversion Cash/Letter"
"000","EURG","D","EWU - Umrechnung Geld/Brief"
"000","EURG","E","EMU - Conversion Cash/Letter"
"000","GWLA","D","GW in HW: Durchschnittskurs"
"000","GWLS","D","GW in HW: Stichtagskurs"
"000","INT","D","Interner Verrechnungskurs"
"000","INT","E","Internal clearing exchange rate"
"000","ZCB","E",""
"000","ZZ09","D","Stichtagskurs"
"000","ZZ09","E","Current exchange rate"
"000","AP","E","Average Exchanging Rate"
"000","RP","E","Current Exchnage Rate"
"000","CR1","E","Christel Test"
